id,GEOID10,Total:,Speak only English,Spanish or Spanish Creole:,"Speak English ""very well""","Speak English less than ""very well""","French (incl. Patois, Cajun):",French Creole:,Italian:,Portuguese or Portuguese Creole:,German:,Yiddish:,Other West Germanic languages:,Scandinavian languages:,Greek:,Russian:,Polish:,Serbo-Croatian:,Other Slavic languages:,Armenian:,Persian:,Gujarati:,Hindi:,Urdu:,Other Indic languages:,Other Indo-European languages:,Chinese:,Japanese:,Korean:,"Mon-Khmer, Cambodian:",Hmong:,Thai:,Laotian:,Vietnamese:,Other Asian languages:,Tagalog:,Other Pacific Island languages:,Navajo:,Other Native North American languages:,Hungarian:,Arabic:,Hebrew:,African languages:,Other and unspecified languages:,"$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",ApproxAvgIncome,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,LI_AVG,RB_CUSTMR
265,42101028600,2216,4624,1527,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,55,0,0,152,0,0,100,0,0,29,0,0,0,0,152,0,124,0,220,80,273,150,36,143,174,73,122,228,133,47,16,15,0,39558.47953,2.19,2.41,2.96,2.86,2.66,2.86,2.14,2.28,3.46,1.6,1.02,1.28,2.31,394
80,42101008301,1776,4008,62,0,0,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,38,183,175,75,133,150,42,94,81,83,33,24,10,31,39362.22692,2,2.79,2.4,1.7,2.3,2.4,2.59,1.1,2.01,1.7,1.7,1.98,2.055833333,278
72,42101007400,1644,3742,106,0,0,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,20,0,0,0,9,10,0,0,0,0,0,0,0,18,0,231,190,130,64,77,93,86,22,75,115,169,52,23,0,9,39337.57485,2.25,2.8,2.59,1.95,2.36,2.4,2.72,1.68,2.96,1.37,1.57,1.68,2.194166667,276
135,42101014000,1182,2157,172,0,0,0,0,0,0,60,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,26,0,106,73,55,39,117,21,241,0,92,72,86,18,8,0,0,39100.21552,2.53,3.33,3.16,2.96,2.96,3.34,1.59,2.7,3.43,2.38,2.08,3.04,2.791666667,148
82,42101008400,1776,4601,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,179,207,98,211,84,69,41,65,152,111,100,45,20,9,16,39047.61905,2.02,2.83,2.36,1.82,2.16,2.61,2.78,1.22,2.83,1.76,1.73,1.98,2.175,542
196,42101020500,1204,2673,72,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,100,155,85,54,56,13,51,54,116,95,13,33,40,0,0,39023.12139,2.03,2.52,2.33,2.23,2.13,2.3,2.26,1.88,2.23,1.95,1.69,1.87,2.118333333,210
162,42101016901,1302,3445,11,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,36,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,151,112,164,124,76,40,63,34,107,39,70,18,28,0,27,38879.39221,2.49,2.59,3.27,2.1,3.07,2.21,3.57,2.9,3.59,2.28,1.88,2.19,2.678333333,311
108,42101010900,733,1847,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,68,112,42,26,60,31,17,0,49,9,43,33,0,19,0,38860.51081,2.1,1.9,3.1,2.4,2.8,2.5,1.6,2.4,3.6,2,2,1.93,2.360833333,179
252,42101027402,2330,4119,1581,0,0,59,248,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,24,170,0,23,220,28,0,0,213,0,12,0,0,0,0,13,0,38,0,215,266,190,170,173,41,196,102,272,205,249,46,0,0,0,38785.88235,1.6,2,2.4,1.9,2.2,2.2,1.9,1.2,2.7,1.6,1,2.27,1.914166667,361
267,42101028800,1393,1544,2197,0,0,0,137,8,0,8,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,10,0,0,318,0,0,0,0,0,29,0,0,0,0,139,0,0,0,76,139,122,113,71,82,71,95,28,100,95,42,0,0,7,38760.80692,2.4,3,2.3,2.5,2,2.4,3.4,2.6,3,1.8,1.8,1.61,2.400833333,141
92,42101009200,1279,2930,25,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,90,0,38,0,0,0,0,5,10,0,0,0,0,0,73,0,0,0,124,133,57,64,57,82,108,41,57,105,51,17,20,14,0,38704.30108,1.98,1.95,3.32,2.85,3.02,2.44,2.22,2.28,3.6,1.94,1.94,1.93,2.455833333,189
88,42101008801,258,1026,119,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,65,23,61,0,0,18,0,0,0,0,0,0,0,0,16,0,5,0,16,29,40,6,56,0,0,0,11,0,0,0,0,21,0,38687.15084,2,2.78,2.41,1.71,2.31,2.4,2.58,1.12,2.03,1.7,1.7,1.98,2.06,3
251,42101027401,1082,1819,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,179,0,0,7,535,0,28,0,0,0,0,0,0,0,0,169,21,131,74,59,104,16,45,96,58,70,31,0,23,0,38606.466,1.6,2,2.4,1.9,2.2,2.2,1.9,1.2,2.7,1.6,1,2.27,1.914166667,185
176,42101017900,2057,4147,1067,0,0,115,0,0,0,0,0,0,0,0,12,135,4,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,213,386,72,146,87,99,104,0,149,120,267,0,28,0,19,38591.71598,2.7,3.2,2.8,2.9,2.6,2,2.3,3,3.1,1.8,1.6,1.65,2.470833333,497
76,42101008000,1454,3034,63,0,0,42,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,205,291,41,24,90,129,36,63,126,118,105,48,0,34,0,38534.35115,2.15,2.78,2.5,1.8,2.24,2.49,2.84,1.3,2.69,2.11,2.05,1.99,2.245,362
181,42101018800,2515,4566,2845,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,386,99,121,148,94,183,91,174,127,181,116,33,71,0,0,38511.51316,2.55,3.08,2.54,2.69,2.34,2.34,2.64,2.98,3.14,1.79,1.92,1.55,2.463333333,483
158,42101016600,524,1350,25,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,38,11,55,38,36,28,31,0,0,0,6,49,0,0,0,38510.27397,2.69,2.31,3.29,2.5,3.09,2.4,3.1,2.9,3.79,2.09,1.69,2.06,2.659166667,66
165,42101017100,1462,3225,148,0,0,11,48,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,152,149,74,94,175,78,48,0,129,38,78,85,19,0,0,38373.54781,2.26,2.34,1.96,2.4,1.51,2.83,1.99,2.91,3.15,1.34,1.29,2.03,2.1675,357
264,42101028500,794,1007,767,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,194,0,16,39,145,0,0,0,0,0,0,0,0,4,0,106,71,4,45,114,31,3,0,87,37,71,10,0,10,0,37945.67063,2.14,2.38,3.02,2.78,2.72,2.89,2.15,2.27,3.46,1.55,1,1.26,2.301666667,86
83,42101008500,2485,5658,142,0,0,119,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,277,313,204,85,100,243,99,126,224,206,122,63,0,16,14,37770.07648,2.05,2.59,2.33,1.87,2.1,2.44,2.61,1.31,3.34,1.77,1.63,1.98,2.168333333,636
271,42101029100,1423,2183,566,0,0,14,12,5,0,0,0,0,0,0,0,13,0,45,0,0,19,0,22,0,0,273,0,0,85,0,0,0,238,193,28,0,0,0,0,0,0,65,0,101,147,113,208,88,69,40,90,76,106,76,43,7,13,0,37693.28802,1.36,2.46,2.34,2.11,2.07,2.08,1.68,1.2,2.43,1.56,1.06,1.36,1.809166667,125
68,42101007101,968,2500,66,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,43,23,17,173,55,22,177,61,120,47,16,0,0,6,0,37638.15789,2.7,2.7,2.6,2.9,2.4,2.6,3.3,2.3,3.5,2.2,2.1,1.47,2.564166667,306
