id,GEOID10,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,RB_CUSTMR
370,42101038800,1.5,1.76,1.73,1.51,1.51,1.78,1.61,1.09,1.41,1.58,1,1.34,399
134,42101013900,2.68,3.48,3.47,3.27,3.27,3.58,2.53,2.7,3.58,2.3,2,2.93,128
129,42101013500,1.73,1.61,2,1.5,1.8,1.3,1.63,1.27,1.5,1.87,1.92,1.79,460
61,42101006300,1.7,2.7,2.7,2.5,2.4,1.8,2.1,1.2,1.6,1.8,1.9,1.23,364
71,42101007300,2.35,2.79,2.68,2.09,2.38,2.38,2.77,1.92,3.38,1.28,1.55,1.53,264
160,42101016702,2.69,2.3,3.28,2.49,3.08,2.4,3.08,2.9,3.79,2.09,1.69,2.06,199
322,42101034502,1.5,1,1.3,1.1,1.2,1.1,1.5,1.2,1,1.3,1,1.3,180
2,42101000300,1.51,1.48,1.74,1.43,1.59,1.22,1.6,1.27,1.37,1.97,2,1.97,78
112,42101011300,2.56,2.43,3.4,1.69,3.2,2.57,2.47,1.68,3.12,1.87,1.49,1.71,260
196,42101020500,2.03,2.52,2.33,2.23,2.13,2.3,2.26,1.88,2.23,1.95,1.69,1.87,210
287,42101031101,1.9,1.98,2.36,2.34,2.15,2.11,1.97,1.06,2.73,1.6,1,1.41,250
294,42101031502,1.5,2.1,1.7,1.6,1.5,1.5,1.2,1,1.89,1.39,1.49,1.22,315
187,42101019700,2.52,3.06,2.61,2.75,2.31,2.71,3.2,2.79,3.25,1.8,1.67,1.62,415
62,42101006400,1.79,2.7,2.69,2.53,2.4,1.87,2.21,1.3,1.78,1.83,1.91,1.25,262
144,42101014900,3.14,2.64,3.02,2.96,2.82,2.56,2.3,2.93,3.67,2.15,2,2.97,419
233,42101025700,1.5,1.6,1.9,1.1,1.6,2.2,1.2,1.6,1.5,2.5,1,1.73,127
14,42101001002,1.8,1.2,1.62,1.32,1.41,1.4,1.54,1.37,1.7,1.92,1.78,1.51,168
15,42101001101,1.98,2.02,1.79,1.52,2.17,1.71,1.4,1.54,1.89,1.71,1.43,1.71,127
204,42101021300,1.5,1.4,1.5,1.5,1.3,1.2,1.9,1,1.5,1.4,1,1.2,285
0,42101000100,1.68,1.27,1.5,1.33,1.31,1.41,1.56,1.4,1.5,1.91,1.91,1.48,56
276,42101029900,2.28,2.39,2.32,2.03,2.15,2.25,1.56,1.39,2.93,1.49,1.72,1.24,326
64,42101006600,2.55,2.7,2.61,2.84,2.4,2.48,3.12,2.14,3.23,2.14,2.07,1.43,286
371,42101038900,1.75,1.77,2.37,1.49,2.05,2.28,1.56,1.73,1.89,2.21,1,1.65,175
214,42101023600,1.5,1.8,1.7,1.6,1.5,1.7,1.7,1,1.4,1.4,1,1.27,243
347,42101036302,1.2,1,1.4,1.3,1.3,1.1,1.2,1.1,1.4,1.1,1,1.13,281
206,42101021500,1.49,1.39,1.5,1.5,1.29,1.19,1.89,1,1.49,1.4,1,1.2,277
290,42101031300,1.43,2.39,2.45,2.29,2.17,2.25,1.91,1.23,2.92,1.59,1.08,1.32,257
263,42101028400,2.12,2.64,3.15,2.7,2.85,2.88,2.38,2.29,3.37,1.46,1.11,1.64,249
103,42101010400,1.9,2,3.5,3.2,3.2,2.4,2.7,2.2,3.6,1.9,1.9,1.93,209
270,42101029000,2.2,2.41,2.98,2.89,2.68,2.88,2.12,2.3,3.48,1.6,1.01,1.25,226
141,42101014600,2.5,3.29,3.1,2.89,2.9,3.29,1.41,2.7,3.4,2.39,2.09,3.06,128
292,42101031402,1.31,2.47,2.45,2.26,2.16,2.25,1.86,1.28,2.93,1.58,1.11,1.29,260
